"id","name","host_id","neighbourhood","latitude","longitude","room_type","price","number_of_reviews","host_listings","availability","rating","ward","availability_price","number_of_reviews_ltm"
52092,"People's Place 2- Convention Center",50148,"Shaw, Logan Circle",38.9077,-77.02431,"Entire home/apt",55,185,1,295,87,"Ward 2",16225,0
54112,"Luxury DC Apt. Downtown, Logan Circle, 14th Street",253258,"Dupont Circle, Connecticut Avenue/K Street",38.91234,-77.03482,"Entire home/apt",195,156,1,351,97,"Ward 2",68445,2
65024,"Nice looking large room on Rhodeisland avenue, nw",315148,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91717,-77.0085,"Private room",35,8,32,172,98,"Ward 5",6020,1
67483,"Charming B & B in Columbia Heights",332901,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93347,-77.03018,"Entire home/apt",99,155,1,363,90,"Ward 1",35937,0
78264,"Room for 2 with private bathroom",420345,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9148,-77.00931,"Private room",66,35,1,357,94,"Ward 5",23562,0
79866,"DC, Near Metro III",7086,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90493,-76.98643,"Private room",99,10,3,294,98,"Ward 5",29106,0
79867,"DC, Near Metro II",7086,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90618,-76.98498,"Private room",99,10,3,294,98,"Ward 5",29106,0
93551,"Upscale Master Close to Everything",481929,"Howard University, Le Droit Park, Cardozo/Shaw",38.91433,-77.01876,"Private room",80,99,4,364,95,"Ward 1",29120,0
107801,"Heart of D.C. near Union Station!!",445901,"Ivy City, Arboretum, Trinidad, Carver Langston",38.89801,-76.97052,"Entire home/apt",140,13,1,0,94,"Ward 5",0,0
116951,"Upscale Private Close to Everything",481929,"Howard University, Le Droit Park, Cardozo/Shaw",38.91702,-77.01617,"Private room",67,80,4,365,95,"Ward 1",24455,0
145726,"Luraloft / Entire Apt",88147938,"Brightwood Park, Crestwood, Petworth",38.94935,-77.02522,"Entire home/apt",80,106,1,331,97,"Ward 4",26480,2
150109,"Great apartment in perfect location",723470,"Dupont Circle, Connecticut Avenue/K Street",38.91525,-77.04001,"Entire home/apt",135,30,1,0,96,"Ward 2",0,1
153545,"Guest Room 3 miles to the White House",738459,"Brightwood Park, Crestwood, Petworth",38.94286,-77.04417,"Private room",59,36,5,1,93,"Ward 4",59,1
155859,"~Guest Room: Coffee, Croissants & Comfort",745305,"Takoma, Brightwood, Manor Park",38.96628,-77.0309,"Private room",67,130,2,0,97,"Ward 4",0,0
160148,"Dupont room; TemPurpedic bed, 3 min 2 metro",767543,"Dupont Circle, Connecticut Avenue/K Street",38.91297,-77.0465,"Private room",309,2,5,365,100,"Ward 2",112785,0
161913,"X-tra large suite;3 min Wlk 2 Metro",767543,"Dupont Circle, Connecticut Avenue/K Street",38.91296,-77.04639,"Private room",99,5,5,365,92,"Ward 2",36135,0
161922,"Dupont 2-level Apt in 4-story historic townhouse",767543,"Dupont Circle, Connecticut Avenue/K Street",38.91296,-77.04639,"Entire home/apt",149,1,5,364,100,"Ward 2",54236,0
164069,"Historic Rowhouse Near Monuments 2",5059,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91366,-77.00803,"Private room",32,195,2,54,97,"Ward 5",1728,0
174808,"Historic American Four Square",835242,"Historic Anacostia",38.86432,-76.98749,"Private room",75,34,4,179,98,"Ward 8",13425,1
175581,"Entire 1BR Capitol Hill Apartment!",839218,"Capitol Hill, Lincoln Park",38.88022,-76.98677,"Entire home/apt",162,124,1,172,93,"Ward 6",27864,0
178395,"Spare Room for Washington,DC Visit or entire house",852801,"Takoma, Brightwood, Manor Park",38.96165,-77.01858,"Private room",399,0,2,365,NA,"Ward 4",145635,0
181455,"Sweet English Studio CLEAN/AU/Walk to Metro",667695,"Friendship Heights, American University Park, Tenleytown",38.95034,-77.0879,"Entire home/apt",80,43,1,294,100,"Ward 3",23520,0
196429,"Takoma Garden apt-Lush yard,pets ok",956417,"Takoma, Brightwood, Manor Park",38.96923,-77.02041,"Entire home/apt",125,6,1,364,85,"Ward 4",45500,1
198685,"Large room in central location",966613,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.93395,-77.01625,"Private room",45,132,3,182,94,"Ward 5",8190,1
201116,"Victorian Haven - Private Basement!",983611,"Takoma, Brightwood, Manor Park",38.97474,-77.01997,"Entire home/apt",90,180,1,331,89,"Ward 4",29790,19
204741,"1-Suburbia in the City--Best Value!!!",1005751,"Congress Heights, Bellevue, Washington Highlands",38.82768,-76.99624,"Private room",29,114,2,0,92,"Ward 8",0,1
205809,"Modern home NW DC steps from bus",1012315,"Brightwood Park, Crestwood, Petworth",38.95777,-77.02146,"Entire home/apt",199,13,1,362,97,"Ward 4",72038,0
211986,"xtra-large suite in Dupont-- 3 min walk to metro",767543,"Dupont Circle, Connecticut Avenue/K Street",38.91297,-77.0465,"Private room",269,5,5,365,85,"Ward 2",98185,0
223203,"ROOM FOR RENT IN A NICE AREA OF DC",1159505,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,"Private room",70,6,4,365,100,"Ward 4",25550,0
223922,"Private  Retreat. Apartment in DC",738459,"Brightwood Park, Crestwood, Petworth",38.94482,-77.04437,"Entire home/apt",112,127,5,135,93,"Ward 4",15120,8
246413,"Cozy Capitol Hill home near metro",814151,"Capitol Hill, Lincoln Park",38.88366,-76.98333,"Entire home/apt",99,401,1,137,97,"Ward 6",13563,4
251611,"LUXURY LIVING AT A BARGAIN",1159505,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,"Private room",70,1,4,365,100,"Ward 4",25550,0
251615,"NICE HOUSE IN A VERY NICE NEIGHBORHOOD",1159505,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,"Private room",70,5,4,365,96,"Ward 4",25550,0
251619,"LUXURY LIVING AT A BARGAIN",1159505,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,"Private room",70,8,4,365,83,"Ward 4",25550,0
252300,"Private Bath, Metro, Capitol@3miles",1323933,"Sheridan, Barry Farm, Buena Vista",38.85826,-76.98881,"Private room",70,8,2,364,90,"Ward 8",25480,0
262629,"Guest bedroom and private bath.",36646,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96691,-77.0044,"Private room",58,33,1,355,98,"Ward 5",20590,1
266852,"Private Suite in Capitol Hill Home",1399272,"Union Station, Stanton Park, Kingman Park",38.89641,-76.98666,"Private room",88,711,2,0,96,"Ward 6",0,0
274737,"Georgetown Federal Townhouse",1436380,"Georgetown, Burleith/Hillandale",38.91352,-77.0738,"Private room",90,38,3,243,97,"Ward 2",21870,0
284165,"Entire Two Floor Carriage House",783034,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91401,-77.01777,"Entire home/apt",110,73,2,127,93,"Ward 5",13970,5
286083,"Boutique penthouse near everything",62739,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92965,-77.03858,"Entire home/apt",232,70,1,362,94,"Ward 1",83984,1
290001,"Cozy Rowhouse Near Logan Circle",1505235,"Shaw, Logan Circle",38.91001,-77.02563,"Entire home/apt",175,136,1,101,96,"Ward 2",17675,4
296196,"Charming Dupont English Basement",1528235,"Dupont Circle, Connecticut Avenue/K Street",38.9146,-77.03602,"Entire home/apt",149,59,1,110,99,"Ward 2",16390,0
298337,"Lovely One Bedrm w/Old World Charm",743745,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.92287,-77.10205,"Entire home/apt",100,0,2,79,NA,"Ward 3",7900,0
298346,"Spacious, Sunny Garden Apt 1 Bdrm+d",743745,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.92306,-77.10052,"Entire home/apt",125,5,2,0,98,"Ward 3",0,3
299030,"Red Room - Washington 1-2/p Bedroom near Metro",1541062,"Colonial Village, Shepherd Park, North Portal Estates",38.9806,-77.03084,"Private room",85,19,2,365,97,"Ward 4",31025,0
303694,"Private DC Suite, Spacious + Modern",110003,"Brightwood Park, Crestwood, Petworth",38.94089,-77.01847,"Entire home/apt",84,140,1,0,97,"Ward 4",0,0
303723,"Modern Private English Unit, Great Location",1563230,"Howard University, Le Droit Park, Cardozo/Shaw",38.91611,-77.02662,"Entire home/apt",65,173,1,1,96,"Ward 1",65,0
305783,"Hb baño privado 3mi Capitol y metro",1323933,"Sheridan, Barry Farm, Buena Vista",38.85653,-76.98637,"Private room",70,2,2,365,80,"Ward 8",25550,0
306465,"Dupont Apt w/character;3-min walk metro!",767543,"Dupont Circle, Connecticut Avenue/K Street",38.91297,-77.0465,"Entire home/apt",104,15,5,31,94,"Ward 2",3224,0
313405,"Blue Room - Washington 1-2p Bedroom Near Metro",1541062,"Colonial Village, Shepherd Park, North Portal Estates",38.9793,-77.0283,"Private room",80,7,2,364,87,"Ward 4",29120,0
315140,"Penn Quarter Studio Apartment",1618591,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89792,-77.0225,"Entire home/apt",172,16,2,258,96,"Ward 2",44376,2
322610,"Capitol Hill - Union Station",1651634,"Union Station, Stanton Park, Kingman Park",38.90094,-76.99943,"Entire home/apt",125,0,2,356,NA,"Ward 6",44500,0
322611,"Capitol Hill, Union Station-huge",1651634,"Union Station, Stanton Park, Kingman Park",38.89966,-76.99946,"Entire home/apt",129,1,2,364,NA,"Ward 6",46956,0
326938,"Georgetown's Chateau Bleu - Prv Rm1",1671809,"Georgetown, Burleith/Hillandale",38.91642,-77.0706,"Private room",139,23,4,337,96,"Ward 2",46843,0
339208,"METRO ACCESSIBLE TWO BEDROOM APT",1722407,"Capitol View, Marshall Heights, Benning Heights",38.89094,-76.93638,"Entire home/apt",75,121,1,332,94,"Ward 7",24900,8
355527,"Steps for US Capitol .. Library of Congress",1096793,"Capitol Hill, Lincoln Park",38.88408,-77.0035,"Entire home/apt",120,132,1,313,95,"Ward 6",37560,1
382111,"Capitol Hill Historic District Apt!",1907809,"Capitol Hill, Lincoln Park",38.89099,-76.99458,"Entire home/apt",150,244,1,229,96,"Ward 6",34350,8
407014,"DC Apartment near White House, Mall",29711,"Shaw, Logan Circle",38.91306,-77.02116,"Entire home/apt",101,420,1,294,92,"Ward 2",29694,17
409582,"1-br Capitol Hill apartment (Eastern Market)",2038963,"Capitol Hill, Lincoln Park",38.88306,-76.99497,"Entire home/apt",60,520,1,46,97,"Ward 6",2760,8
427825,"Bloomingdale Victorian Row-house",1618591,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92006,-77.01438,"Entire home/apt",110,18,2,9,91,"Ward 5",990,2
437005,"The Buddha behind the ""Blue Door""",2170422,"Historic Anacostia",38.86256,-76.98689,"Private room",60,103,2,322,97,"Ward 8",19320,0
446147,"2 Level Modern Condo in City Center",2215579,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90549,-77.02847,"Entire home/apt",99,0,1,363,NA,"Ward 2",35937,0
453159,"1 block to metro-Capitol Hill Garden flat",40168,"Capitol Hill, Lincoln Park",38.87772,-76.985,"Entire home/apt",161,283,1,315,98,"Ward 6",50715,5
464177,"Luxury DC 1BR Next to National Zoo",2306542,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.92906,-77.05517,"Entire home/apt",144,98,1,251,97,"Ward 3",36144,7
501809,"Upstair Private Close to Everything",481929,"Howard University, Le Droit Park, Cardozo/Shaw",38.91454,-77.01814,"Private room",73,31,4,365,98,"Ward 1",26645,1
525672,"Capitol Hill walk to US Capitol & 1 blk to Metro",2583808,"Capitol Hill, Lincoln Park",38.88183,-76.98911,"Entire home/apt",135,240,2,51,97,"Ward 6",6885,35
542144,"Ground floor apartment by Eastern Market metro",2666087,"Capitol Hill, Lincoln Park",38.88745,-76.99293,"Entire home/apt",145,29,1,139,98,"Ward 6",20155,1
556729,"Large sunny BR close to downtown",966613,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92991,-77.01911,"Private room",45,129,3,332,89,"Ward 1",14940,0
560341,"Business Economy Room-DC Best Value",738459,"Brightwood Park, Crestwood, Petworth",38.94306,-77.04405,"Private room",59,22,5,324,94,"Ward 4",19116,0
561697,"Spacious Downtown DC Apartment",2761762,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91096,-77.00858,"Entire home/apt",68,324,2,11,95,"Ward 5",748,12
563607,"Boutique Dupont Apartment with in unit W/D",2771266,"Dupont Circle, Connecticut Avenue/K Street",38.91564,-77.03796,"Entire home/apt",77,2,1,6,90,"Ward 2",462,1
594394,"Lovely upstairs room in Georgetown!",2935817,"Georgetown, Burleith/Hillandale",38.91391,-77.07467,"Private room",65,36,3,365,93,"Ward 2",23725,0
610655,"Beautiful Condo In NW Washington DC",3027744,"Brightwood Park, Crestwood, Petworth",38.95792,-77.02189,"Entire home/apt",89,155,1,0,92,"Ward 4",0,0
626868,"Cooper Circle Apt.  Walk to Metro, Shaw, U St.",3111772,"Howard University, Le Droit Park, Cardozo/Shaw",38.91478,-77.01549,"Entire home/apt",65,86,4,338,91,"Ward 1",21970,1
627758,"Georgetown's Chateau Bleu - 2lv hse",1671809,"Georgetown, Burleith/Hillandale",38.9164,-77.06898,"Entire home/apt",299,11,4,337,91,"Ward 2",100763,0
630062,"Large House, Parking, Walk to Metro",3111772,"Howard University, Le Droit Park, Cardozo/Shaw",38.91465,-77.01667,"Entire home/apt",300,77,4,243,95,"Ward 1",72900,0
635399,"Sunny Dupont Pied-à-terre",3165756,"Dupont Circle, Connecticut Avenue/K Street",38.90997,-77.04107,"Entire home/apt",125,16,1,61,93,"Ward 2",7625,0
638604,"Georgetown's Chateau Bleu - BsmtApt",1671809,"Georgetown, Burleith/Hillandale",38.91438,-77.06933,"Entire home/apt",139,5,4,1,68,"Ward 2",139,0
647080,"Row House Near Capitol on Maryland Avenue",3221627,"Union Station, Stanton Park, Kingman Park",38.89248,-77.00283,"Entire home/apt",275,74,1,364,99,"Ward 6",100100,0
654835,"Georgetown's Chateau Bleu - Prv Rm2",1671809,"Georgetown, Burleith/Hillandale",38.91504,-77.07064,"Private room",139,10,4,339,91,"Ward 2",47121,0
660514,"Master Suite- Private Deck, Whirlpool bath",2231801,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92539,-77.02934,"Private room",45,5,2,177,80,"Ward 1",7965,0
669941,"Adorable, Spacious, Steps to Metro",3393172,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92707,-77.03006,"Entire home/apt",81,243,2,78,97,"Ward 1",6318,2
688914,"Master BR and Bath in Sunny TH",3517743,"Douglas, Shipley Terrace",38.85045,-76.97992,"Private room",150,3,4,357,100,"Ward 8",53550,2
694383,"Beautiful apart_ Cathedral area",1730861,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.93059,-77.08422,"Entire home/apt",135,4,1,1,95,"Ward 3",135,0
713529,"03. The perfect Baseball fans hangout",3672670,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87182,-77.01231,"Private room",60,529,14,178,86,"Ward 6",10680,19
722114,"Cool Columbia Heights Garden Apt.",1565502,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9237,-77.0271,"Entire home/apt",102,490,1,55,96,"Ward 1",5610,12
748316,"Cozy Cabin in the City on Cap Hill",1399272,"Union Station, Stanton Park, Kingman Park",38.89707,-76.9881,"Entire home/apt",102,658,2,111,97,"Ward 6",11322,0
754037,"Bed and Bath in Large Condo in DC",3966901,"Sheridan, Barry Farm, Buena Vista",38.86033,-76.99074,"Private room",64,11,1,325,96,"Ward 8",20800,0
763569,"Romantic Studio in Perfect Location",738459,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.93624,-77.05813,"Entire home/apt",70,17,5,293,96,"Ward 3",20510,0
780282,"2 BR apt, 3 mins walk to metro!",1624394,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93413,-77.02333,"Entire home/apt",145,2,3,90,80,"Ward 1",13050,0
782970,"PRO CLEANED! 1 bedroom apt in historic Mt Pleasant",3300249,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93299,-77.04167,"Entire home/apt",109,6,1,87,96,"Ward 1",9483,0
800076,"Cozy English Basement with Private Patio",3885360,"Howard University, Le Droit Park, Cardozo/Shaw",38.91545,-77.0305,"Entire home/apt",89,181,1,225,96,"Ward 1",20025,10
808830,"Cozy comfort and convenience in DC",3765717,"Cathedral Heights, McLean Gardens, Glover Park",38.92087,-77.07631,"Private room",110,330,1,310,98,"Ward 3",34100,0
818308,"Roomy Eng Bsmt/Apt Sep Ent Nr Rock Crk & SS Metro",4291047,"Colonial Village, Shepherd Park, North Portal Estates",38.99176,-77.04105,"Entire home/apt",85,3,1,172,93,"Ward 4",14620,3
820108,"Elegant 1BR 6mins From Whitehouse",3574033,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92806,-77.03706,"Entire home/apt",195,47,6,9,89,"Ward 1",1755,0
825969,"3 BR/2.5BA House near US Capitol",5795,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91424,-77.00026,"Entire home/apt",500,10,2,365,91,"Ward 5",182500,0
826087,"2BR basement Apt near Union Station",5795,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91344,-77.00065,"Entire home/apt",53,267,2,166,85,"Ward 5",8798,18
828497,"Charming 3 BR/3Bath home, free pkg, Van Ness Metro",3825475,"Friendship Heights, American University Park, Tenleytown",38.94291,-77.07173,"Entire home/apt",200,79,1,90,98,"Ward 3",18000,2
835992,"Private Floor of House in DC, Separate Entrance",4370632,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.93218,-77.1011,"Entire home/apt",60,20,1,145,92,"Ward 3",8700,5
839320,"Large Bright Studio in DC 20016",4384549,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.93088,-77.102,"Entire home/apt",100,17,1,358,100,"Ward 3",35800,0
841234,"Lovely room on 2nd street, nw dc",315148,"Howard University, Le Droit Park, Cardozo/Shaw",38.91767,-77.01549,"Private room",35,13,32,331,88,"Ward 1",11585,0
841260,"Metro Style Living in Washington DC",315148,"Brightwood Park, Crestwood, Petworth",38.93719,-77.02335,"Private room",39,13,32,152,88,"Ward 4",5928,1
860336,"Luxury Spacious Master Suite RoofDeck in Dupont",511136,"Dupont Circle, Connecticut Avenue/K Street",38.90807,-77.04756,"Private room",99,403,4,0,95,"Ward 2",0,0
860776,"Gorgeous cozy room available in the heart of DC",315148,"Howard University, Le Droit Park, Cardozo/Shaw",38.91785,-77.01498,"Private room",28,14,32,306,93,"Ward 1",8568,3
861775,"Private BR Shared Bath Sunny TH - B",3517743,"Douglas, Shipley Terrace",38.8491,-76.97982,"Private room",65,19,4,337,96,"Ward 8",21905,0
865732,"Gorgeous Inauguration Rental",57867,"Capitol Hill, Lincoln Park",38.89111,-76.98952,"Entire home/apt",2000,0,1,365,NA,"Ward 6",730000,0
871825,"Prime location on Capitol Hill",4597024,"Capitol Hill, Lincoln Park",38.88442,-77.00491,"Entire home/apt",90,15,1,232,96,"Ward 6",20880,1
873182,"Spacious English Basement Apt w/ Natural Sunlight!",4608059,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.95345,-76.99504,"Entire home/apt",96,28,1,90,93,"Ward 5",8640,2
883653,"Green Historic Mt. Pleasant House",1541121,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9356,-77.04468,"Entire home/apt",365,27,1,28,98,"Ward 1",10220,1
886283,"Tenleytown/AU Park Basement Apt.",4698675,"Friendship Heights, American University Park, Tenleytown",38.94492,-77.09234,"Entire home/apt",100,52,1,148,93,"Ward 3",14800,2
887461,"Cozy room right next to the petworth metro station",315148,"Brightwood Park, Crestwood, Petworth",38.93788,-77.02313,"Private room",39,12,32,194,85,"Ward 4",7566,2
888029,"PERFECT ROOM FOR INTERNS OR STUDENTS",315148,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93664,-77.02298,"Private room",35,12,32,124,88,"Ward 1",4340,1
889302,"Chic Sanctuary in the Capital",4717941,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91902,-77.04261,"Entire home/apt",100,102,1,3,94,"Ward 1",300,5
891852,"The Rock Creek Cozy, One Bedroom",116599,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93689,-77.02062,"Entire home/apt",294,58,1,365,90,"Ward 1",107310,1
892183,"SPECTACULAR VICTORIAN HOME IN LOGAN CIRCLE!",4280278,"Shaw, Logan Circle",38.90746,-77.02716,"Entire home/apt",500,167,4,351,92,"Ward 2",175500,0
893529,"Chic and in the City Room",4752493,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91223,-77.01067,"Private room",350,1,1,365,NA,"Ward 5",127750,0
898543,"welcome to foggy bottom - on metro!",4795247,"West End, Foggy Bottom, GWU",38.90153,-77.05434,"Entire home/apt",210,158,3,294,98,"Ward 2",61740,0
898544,"welcome to the heart of washington",4795247,"West End, Foggy Bottom, GWU",38.8996,-77.05277,"Entire home/apt",181,102,3,341,98,"Ward 2",61721,0
900225,"The MONROE: 2 bdrm house BROOKLAND Arts District",3725621,"Brookland, Brentwood, Langdon",38.93268,-76.98863,"Entire home/apt",130,32,3,59,93,"Ward 5",7670,5
902573,"Primo Live-In Office Near Downtown",481929,"Shaw, Logan Circle",38.91054,-77.02149,"Private room",72,23,4,365,95,"Ward 2",26280,0
945426,"1BR Suite in the Heart of Things",5121445,"Friendship Heights, American University Park, Tenleytown",38.9604,-77.08253,"Private room",92,327,1,358,99,"Ward 3",32936,9
953928,"Furnished English Basement - D.C.",5166150,"Takoma, Brightwood, Manor Park",38.96534,-77.03043,"Entire home/apt",50,5,1,319,100,"Ward 4",15950,0
997859,"Upscale+DuPont+PRIVATE Entry+KING+DRIVEWAY Option!",1662757,"Dupont Circle, Connecticut Avenue/K Street",38.9135,-77.04356,"Entire home/apt",284,74,4,337,96,"Ward 2",95708,8
1003792,"SPECTACULAR HOME CAPITOL HILL!",4280278,"Union Station, Stanton Park, Kingman Park",38.89455,-76.9911,"Entire home/apt",500,55,4,180,89,"Ward 6",90000,0
1011352,"Dupont Row-House Apt. 3 Min. Walk To Dupont Metro!",505796,"Dupont Circle, Connecticut Avenue/K Street",38.90955,-77.03776,"Entire home/apt",80,69,1,289,84,"Ward 2",23120,3
1026034,"Perfect studio in VERY central DC - renovated!",2070536,"Shaw, Logan Circle",38.91007,-77.03316,"Entire home/apt",152,328,1,237,99,"Ward 2",36024,18
1048410,"Spacious studio w rear deck near Rock Creek Park",5771803,"Brightwood Park, Crestwood, Petworth",38.95132,-77.02831,"Entire home/apt",100,50,1,0,95,"Ward 4",0,0
1083256,"Comfy condo in Washington, DC",5955776,"Howard University, Le Droit Park, Cardozo/Shaw",38.9183,-77.03213,"Entire home/apt",100,3,1,293,100,"Ward 1",29300,0
1083336,"Beautiful Renovated Rowhome in DC",5956393,"Brightwood Park, Crestwood, Petworth",38.95152,-77.021,"Entire home/apt",264,320,2,0,97,"Ward 4",0,0
1092713,"Heart DuPont - Deluxe 1BR/1BA/Kitchen/Opt Parking",511136,"Dupont Circle, Connecticut Avenue/K Street",38.90944,-77.04611,"Entire home/apt",140,347,4,175,91,"Ward 2",24500,17
1106738,"Entire home/apt in Washington",6076215,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92275,-77.04161,"Entire home/apt",120,0,1,0,NA,"Ward 1",0,0
